id,交易筆棟數,建物現況格局-房,鄉鎮市區,電梯,建物型態,主要用途,總樓層數,主建物面積,有無管理組織
330,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
331,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.96,有
332,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.68,有
333,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
334,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
335,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
336,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,78.14,有
337,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
338,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
339,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.92,有
340,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,77.79,有
341,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
342,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
343,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
344,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
345,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.06,有
346,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,45.4,有
347,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
348,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
349,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
350,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
351,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.55,有
352,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.55,有
353,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
354,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
355,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
356,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
357,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
358,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
359,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.2,有
360,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
361,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
362,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
363,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
364,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.97,有
365,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.68,有
366,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.06,有
367,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.98,有
368,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
369,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
370,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
371,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
372,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
373,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
374,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.55,有
375,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
376,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
377,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
378,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
379,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
380,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.16,有
381,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
382,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.87,有
383,2,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.1,有
384,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.06,有
385,2,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.68,有
386,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.87,有
387,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
388,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.97,有
389,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
390,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,45.4,有
391,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
392,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
393,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
394,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
395,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.06,有
396,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.86,有
397,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.34,有
398,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.2,有
399,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
400,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.16,有
401,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
402,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
403,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,45.4,有
404,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
